2026-09-17T12:55:54Z INFO Logging to /tmp/logs/update_2026-09-17T12-55-54Z.log.
2026-09-17T12:55:54Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T12:55:54Z INFO Processing 500 items (47011 already recorded).
2026-09-17T12:55:55Z INFO [1/500] 01db49f2-a069-4993-8cd4-e132d56e918c: 31 internal nodes; 1.0 s; peak memory 108 MiB.
2026-09-17T12:55:59Z INFO [2/500] 01dba8c4-bb09-4d7c-8ac5-4d1b75eb754c: 71 internal nodes; 4.2 s; peak memory 116 MiB.
2026-09-17T12:56:00Z INFO [3/500] 01dbab67-ffec-405d-ad86-9004848fb989: 17 internal nodes; 0.6 s; peak memory 116 MiB.
2026-09-17T12:56:03Z INFO [4/500] 01dbecbf-f48c-4dc6-b13c-99bcb330fee2: 41 internal nodes; 3.7 s; peak memory 116 MiB.
2026-09-17T12:56:04Z INFO [5/500] 01dcb018-0718-4a80-a33c-5cbe545e1416: 17 internal nodes; 0.6 s; peak memory 116 MiB.
2026-09-17T12:56:05Z INFO [6/500] 01dcc649-90d3-41c6-ad9f-55daaedc0a49: 13 internal nodes; 0.5 s; peak memory 116 MiB.
2026-09-17T12:56:05Z INFO [7/500] 01dd13d5-d04a-4666-81ff-525e6d8ea957: 18 internal nodes; 0.7 s; peak memory 116 MiB.
2026-09-17T12:56:06Z INFO [8/500] 01dd4bd1-3c53-4a20-8bc4-ffee84a816f4: 60 internal nodes; 0.9 s; peak memory 116 MiB.
2026-09-17T12:56:07Z INFO [9/500] 01ddc88f-20dd-4676-9499-0367d329eb6e: 17 internal nodes; 0.5 s; peak memory 116 MiB.
2026-09-17T12:56:10Z INFO [10/500] 01dde307-ca96-416f-9b45-57a80469dde8: 177 internal nodes; 3.1 s; peak memory 118 MiB.
2026-09-17T12:56:10Z INFO [11/500] 01ddfc53-b6bb-4a19-994f-edff9c47263e: 17 internal nodes; 0.6 s; peak memory 118 MiB.
2026-09-17T12:56:11Z INFO [12/500] 01de80e8-4efd-4e25-83d2-ff9cc98a42e7: 27 internal nodes; 0.7 s; peak memory 118 MiB.
2026-09-17T12:56:12Z INFO [13/500] 01dec86b-f2a7-442d-b42b-3ff501e93276: 18 internal nodes; 0.5 s; peak memory 118 MiB.
2026-09-17T12:56:12Z INFO [14/500] 01decf8f-dd7f-47c3-8a18-9e202b8ad2e8: 23 internal nodes; 0.8 s; peak memory 118 MiB.
2026-09-17T12:56:14Z INFO [15/500] 01dfaa5a-b260-475d-adb3-6639e665d174: 59 internal nodes; 1.2 s; peak memory 118 MiB.
2026-09-17T12:56:17Z INFO [16/500] 01e1eb7f-3461-429e-baa4-e800d2b01196: 156 internal nodes; 3.3 s; peak memory 122 MiB.
2026-09-17T12:56:21Z INFO [17/500] 01e1ec82-e7cd-4d1d-ae22-089c16bdefe8: 147 internal nodes; 3.8 s; peak memory 122 MiB.
2026-09-17T12:56:22Z INFO [18/500] 01e28f5c-77ea-42b8-9a43-752d11842a55: 42 internal nodes; 1.4 s; peak memory 122 MiB.
2026-09-17T12:56:23Z INFO [19/500] 01e2a106-cc37-49f9-b814-a5f2679e38ae: 27 internal nodes; 0.8 s; peak memory 122 MiB.
