2026-09-17T22:34:24Z INFO Logging to /tmp/logs/update_2026-09-17T22-34-24Z.log.
2026-09-17T22:34:24Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T22:34:24Z INFO Processing 500 items (47510 already recorded).
2026-09-17T22:34:25Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-17T22:34:25Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-17T22:34:26Z INFO [2/500] 02e21b0e-b78c-4b7c-8def-44bf1864b402: 27 internal nodes; 0.7 s; peak memory 109 MiB.
2026-09-17T22:34:26Z INFO [3/500] 02e35c8e-b323-4d49-9090-bee3af0d69ca: 19 internal nodes; 0.6 s; peak memory 109 MiB.
2026-09-17T22:34:27Z INFO [4/500] 02e3c4df-4228-40b2-b679-8aad639d688b: 13 internal nodes; 0.6 s; peak memory 109 MiB.
2026-09-17T22:34:27Z INFO [5/500] 02e3f9f0-f3d7-4882-9839-52cd639ea26f: 11 internal nodes; 0.3 s; peak memory 109 MiB.
2026-09-17T22:34:30Z INFO [6/500] 02e4cf89-0be1-443e-a607-f3ade1475aca: 177 internal nodes; 2.5 s; peak memory 118 MiB.
2026-09-17T22:34:34Z INFO [7/500] 02e55550-7245-4e31-8d39-dc8ab0acff80: 61 internal nodes; 3.8 s; peak memory 119 MiB.
2026-09-17T22:34:34Z INFO [8/500] 02e55cf5-933e-40ed-af5f-17898403a7bc: 25 internal nodes; 0.7 s; peak memory 119 MiB.
2026-09-17T22:34:38Z INFO [9/500] 02e6112e-79b4-4834-9934-73f963c37a77: 177 internal nodes; 4.0 s; peak memory 119 MiB.
2026-09-17T22:34:39Z INFO [10/500] 02e65616-a598-466f-ac63-f4116a5bbe5a: 11 internal nodes; 0.4 s; peak memory 119 MiB.
2026-09-17T22:34:40Z INFO [11/500] 02e6a0b1-fd20-4405-ae94-05d61eb79b64: 31 internal nodes; 1.4 s; peak memory 119 MiB.
2026-09-17T22:34:41Z INFO [12/500] 02e6d86f-4b19-494b-9881-fcb4dcf69050: 44 internal nodes; 1.2 s; peak memory 119 MiB.
2026-09-17T22:34:45Z INFO [13/500] 02e75675-a21f-4aa7-9835-b80f274719c9: 100 internal nodes; 3.2 s; peak memory 119 MiB.
2026-09-17T22:34:45Z INFO [14/500] 02e83c9a-c17c-4e44-ad83-e22008459794: 31 internal nodes; 0.9 s; peak memory 119 MiB.
2026-09-17T22:34:46Z INFO [15/500] 02e891b3-8e1d-4d1a-9989-8e281ff20199: 31 internal nodes; 1.1 s; peak memory 119 MiB.
2026-09-17T22:34:57Z INFO [16/500] 02e8f5c9-532d-45e4-ad5c-e62208fea04d: 135 internal nodes; 10.0 s; peak memory 130 MiB.
2026-09-17T22:34:58Z INFO [17/500] 02e942ba-d5c5-4435-af95-352a5a55ea6e: 62 internal nodes; 1.1 s; peak memory 130 MiB.
2026-09-17T22:34:58Z INFO [18/500] 02e99bd1-080e-4557-aabc-e19fbbf13793: 17 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:34:59Z INFO [19/500] 02ea18ba-068a-417d-bf31-28ae115e8a6b: 17 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:34:59Z INFO [20/500] 02ea4cae-bb79-4d54-94f2-aaaa46b07b79: 19 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:00Z INFO [21/500] 02eb3969-811f-49b9-aff7-1712a1b91188: 17 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:00Z INFO [22/500] 02eb7b03-a88f-42c8-9087-73f65d70c7f6: 17 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:01Z INFO [23/500] 02ec6454-8542-4363-9087-677d0403dde0: 27 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:02Z INFO [24/500] 02ec74f0-9e06-4771-a926-1d1f4c0aae16: 53 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-17T22:35:02Z INFO [25/500] 02ed7338-d16e-4691-a158-7f4f3aaaf52e: 18 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:03Z INFO [26/500] 02ee0601-e61a-4537-aeab-91b2f566c2bb: 27 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:04Z INFO [27/500] 02ee44e2-06f1-44f5-9871-2ae17d7c7a5b: 44 internal nodes; 1.1 s; peak memory 130 MiB.
2026-09-17T22:35:04Z INFO [28/500] 02eec476-4423-4408-9339-0d73851879cf: 17 internal nodes; 0.6 s; peak memory 130 MiB.
2026-09-17T22:35:06Z INFO [29/500] 02ef01a0-aad2-4eb2-a901-74e7cc4165c8: 72 internal nodes; 1.1 s; peak memory 130 MiB.
2026-09-17T22:35:06Z INFO [30/500] 02f02422-4164-413d-9dd7-e7c102deadb9: 23 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:07Z INFO [31/500] 02f06bed-bbdb-44a7-801c-38a248c20d21: 18 internal nodes; 0.8 s; peak memory 130 MiB.
2026-09-17T22:35:08Z INFO [32/500] 02f3cc94-dd30-4cce-b08d-be88198bb03c: 17 internal nodes; 0.5 s; peak memory 130 MiB.
2026-09-17T22:35:08Z INFO [33/500] 02f3db88-a514-4a6c-8217-badc8131da3a: 11 internal nodes; 0.4 s; peak memory 130 MiB.
2026-09-17T22:35:12Z INFO [34/500] 02f4bc2b-b24c-4e6b-8049-879ab195a7a6: 161 internal nodes; 4.1 s; peak memory 130 MiB.
2026-09-17T22:35:14Z INFO [35/500] 02f4dc05-fd83-4f5c-848e-d2ed006db186: 44 internal nodes; 1.5 s; peak memory 130 MiB.
2026-09-17T22:35:19Z INFO [36/500] 02f558bc-ae54-4d3a-8991-51176732d04d: 191 internal nodes; 5.2 s; peak memory 130 MiB.
2026-09-17T22:35:20Z INFO [37/500] 02f573e9-0b1f-494f-bbc4-849469cb73c6: 29 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-17T22:35:21Z INFO [38/500] 02f6647d-6024-4d65-b435-986ddd9e9f73: 21 internal nodes; 1.2 s; peak memory 130 MiB.
2026-09-17T22:35:22Z INFO [39/500] 02f67774-1582-4fa2-9965-eb1302985167: 27 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-17T22:35:22Z INFO [40/500] 02f6ae84-ea34-466d-a3ec-f95150c4f7a5: 27 internal nodes; 0.8 s; peak memory 130 MiB.
2026-09-17T22:35:23Z INFO [41/500] 02f7c770-a101-407f-8cbe-3d5977ef7ba0: 39 internal nodes; 0.9 s; peak memory 130 MiB.
