2026-09-18T22:08:31Z INFO Logging to /tmp/logs/update_2026-09-18T22-08-31Z.log.
2026-09-18T22:08:31Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T22:08:32Z INFO Processing 500 items (48508 already recorded).
2026-09-18T22:08:33Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-18T22:08:33Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-18T22:08:35Z INFO [2/500] 051f3823-9a6d-489c-9d78-8d2da1ca608b: 91 internal nodes; 1.8 s; peak memory 110 MiB.
2026-09-18T22:08:36Z INFO [3/500] 05201abc-afb4-4987-bcf8-c0c03d1e79dd: 27 internal nodes; 1.3 s; peak memory 113 MiB.
2026-09-18T22:08:37Z INFO [4/500] 0520a84b-5634-42a0-b4cb-47bcf1aa2227: 26 internal nodes; 0.8 s; peak memory 113 MiB.
2026-09-18T22:08:38Z INFO [5/500] 0520c2b1-4445-41c6-81db-070b67762bb8: 13 internal nodes; 1.1 s; peak memory 113 MiB.
2026-09-18T22:08:39Z INFO [6/500] 052154f9-dedb-4f88-aa7d-6f3ecc66f44e: 13 internal nodes; 0.8 s; peak memory 113 MiB.
2026-09-18T22:08:40Z INFO [7/500] 0521bb2b-f854-4c9d-9999-6084f184976f: 29 internal nodes; 1.5 s; peak memory 114 MiB.
2026-09-18T22:08:42Z INFO [8/500] 0521fbc4-dd4e-41b7-bad3-dca6c7fcecdb: 62 internal nodes; 1.9 s; peak memory 114 MiB.
2026-09-18T22:08:43Z INFO [9/500] 052213ec-d13d-47b3-a3fa-e0a90c13168e: 26 internal nodes; 0.8 s; peak memory 114 MiB.
2026-09-18T22:08:46Z INFO [10/500] 0522b33d-7075-4f11-802e-77c2cbed9ce6: 44 internal nodes; 2.6 s; peak memory 115 MiB.
2026-09-18T22:08:48Z INFO [11/500] 052319e3-22bb-43f6-bdf6-000c5910d720: 28 internal nodes; 1.7 s; peak memory 115 MiB.
2026-09-18T22:08:49Z INFO [12/500] 05231b9d-5dfa-4d67-a552-1a89b8a18b56: 30 internal nodes; 1.3 s; peak memory 115 MiB.
2026-09-18T22:08:57Z INFO [13/500] 052340f7-5ebc-4172-96e6-8e803c90d685: 227 internal nodes; 8.5 s; peak memory 130 MiB.
2026-09-18T22:08:58Z INFO [14/500] 05239fa2-a564-4f92-a7df-ca5049c362b3: 13 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-18T22:08:59Z INFO [15/500] 0523d5d1-e906-4e86-aa27-d2637d04dde9: 19 internal nodes; 1.1 s; peak memory 130 MiB.
2026-09-18T22:09:00Z INFO [16/500] 05241971-5896-4444-b214-c0e55d2978a3: 115 internal nodes; 1.2 s; peak memory 130 MiB.
2026-09-18T22:09:04Z INFO [17/500] 05243ff4-f94d-483f-b722-cfcd11fe3df5: 39 internal nodes; 3.5 s; peak memory 130 MiB.
2026-09-18T22:09:05Z INFO [18/500] 05248a2d-f5bc-4f8a-bbfc-35770cec65fa: 27 internal nodes; 1.2 s; peak memory 130 MiB.
2026-09-18T22:09:06Z INFO [19/500] 0524d1fb-8dd1-441f-8de1-4b54ff225c6f: 11 internal nodes; 0.7 s; peak memory 130 MiB.
2026-09-18T22:09:07Z INFO [20/500] 052512fe-e31d-459c-ae39-73d2ff05f82d: 27 internal nodes; 1.3 s; peak memory 130 MiB.
2026-09-18T22:09:08Z INFO [21/500] 052546b7-3b2f-40ee-82f3-f4a3d36c268c: 56 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-18T22:09:10Z INFO [22/500] 0525811c-61ea-4c29-a3af-55323005658e: 29 internal nodes; 1.6 s; peak memory 130 MiB.
2026-09-18T22:09:11Z INFO [23/500] 0525dbb9-d22d-4e51-a108-34eed0f57f87: 13 internal nodes; 1.0 s; peak memory 130 MiB.
2026-09-18T22:09:12Z INFO [24/500] 052647fd-e28f-44d5-a7c1-8074f22757ab: 15 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-18T22:09:13Z INFO [25/500] 05264de3-8097-44dc-bd31-e104002edbda: 31 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-18T22:09:14Z INFO [26/500] 0526a3e7-40c2-41af-8bf5-76ef6ea64e83: 17 internal nodes; 1.0 s; peak memory 130 MiB.
2026-09-18T22:09:21Z INFO [27/500] 0526a42c-d2a3-49bf-98ed-f858a216e6f0: 157 internal nodes; 6.3 s; peak memory 130 MiB.
2026-09-18T22:09:22Z INFO [28/500] 0526c308-5dd4-44ee-bd02-ea610ed4965c: 27 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-18T22:09:23Z INFO [29/500] 05272907-eac1-4083-b709-f71fb2b4429d: 17 internal nodes; 1.0 s; peak memory 130 MiB.
2026-09-18T22:09:24Z INFO [30/500] 0527701a-2f59-40a3-908f-7e6cf134dcc9: 15 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-18T22:09:27Z INFO [31/500] 0528b3c0-1d48-4ce8-8955-89c9127906c4: 41 internal nodes; 2.6 s; peak memory 130 MiB.
2026-09-18T22:09:32Z INFO [32/500] 05294673-6cce-4a0f-ae49-94d839dd9be1: 73 internal nodes; 5.3 s; peak memory 130 MiB.
2026-09-18T22:09:33Z INFO [33/500] 0529820d-d9b4-406d-8272-cdbe86f20be8: 11 internal nodes; 0.9 s; peak memory 130 MiB.
2026-09-18T22:09:34Z INFO [34/500] 0529b167-b311-4838-9146-2affc1d70758: 27 internal nodes; 1.3 s; peak memory 130 MiB.
2026-09-18T22:09:36Z INFO [35/500] 052a2e40-d431-4c8f-9f17-34b2c3d2b495: 31 internal nodes; 1.7 s; peak memory 130 MiB.
2026-09-18T22:09:37Z INFO [36/500] 052a35af-2ecf-4cd8-a080-030515bec6c8: 53 internal nodes; 1.4 s; peak memory 130 MiB.
2026-09-18T22:09:50Z INFO [37/500] 052acef7-8603-4d12-a7e8-549c8edb94f8: 136 internal nodes; 12.9 s; peak memory 131 MiB.
2026-09-18T22:09:51Z INFO [38/500] 052ca61b-e2d2-4439-8cb3-5c726cfcc2e8: 22 internal nodes; 0.8 s; peak memory 131 MiB.
2026-09-18T22:09:52Z INFO [39/500] 052d7264-d393-4418-845e-0eb4b77c4357: 17 internal nodes; 0.9 s; peak memory 131 MiB.
2026-09-18T22:09:55Z INFO [40/500] 052d7c98-bc6b-442f-b6b4-0d581a717cbc: 56 internal nodes; 3.4 s; peak memory 131 MiB.
