2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:11:46Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-19T12:11:47Z INFO [2/500] 049761b4-6a88-42dc-98a0-5a8be7ba6bd9: 45 internal nodes; 1.7 s; peak memory 111 MiB.
2026-09-19T12:11:48Z INFO [3/500] 061dd4f8-2290-4d2d-a541-2cbacc98acd0: 27 internal nodes; 0.8 s; peak memory 112 MiB.
2026-09-19T12:11:49Z INFO [4/500] 061e705b-25de-44e9-85c2-2dabf69d9b58: 61 internal nodes; 0.7 s; peak memory 112 MiB.
2026-09-19T12:11:50Z INFO [5/500] 061edea9-7ab2-41d4-b8db-340904e1f96a: 53 internal nodes; 1.4 s; peak memory 113 MiB.
2026-09-19T12:11:51Z INFO [6/500] 061ef96c-fb22-4520-a3f1-cc5bd29bd4df: 26 internal nodes; 0.9 s; peak memory 113 MiB.
2026-09-19T12:11:52Z INFO [7/500] 061fbd89-8d96-47e9-997b-784fe94dc938: 31 internal nodes; 0.7 s; peak memory 113 MiB.
2026-09-19T12:11:53Z INFO [8/500] 061ff426-931e-47ab-8df3-7972e0a928d1: 31 internal nodes; 0.7 s; peak memory 114 MiB.
2026-09-19T12:11:53Z INFO [9/500] 06204752-aa72-4473-8216-0fc469392cd7: 27 internal nodes; 0.5 s; peak memory 114 MiB.
2026-09-19T12:11:54Z INFO [10/500] 0621049b-6244-47b5-a775-90c537c5ea17: 22 internal nodes; 0.4 s; peak memory 114 MiB.
2026-09-19T12:11:54Z INFO [11/500] 0621aba8-5151-4a6f-af47-60ee6db0cae5: 17 internal nodes; 0.5 s; peak memory 114 MiB.
2026-09-19T12:11:55Z INFO [12/500] 0622341e-8be1-455c-9a8e-a2c7e3dc4b1b: 72 internal nodes; 1.2 s; peak memory 114 MiB.
2026-09-19T12:11:59Z INFO [13/500] 0622b75a-099c-444a-8d00-991b2595c468: 61 internal nodes; 3.9 s; peak memory 122 MiB.
2026-09-19T12:12:02Z INFO [14/500] 0622fa24-92f8-4db1-af6e-e708ad667d46: 68 internal nodes; 2.9 s; peak memory 122 MiB.
2026-09-19T12:12:06Z INFO [15/500] 06243f9f-4c6f-4f3c-b9be-bb8310168042: 167 internal nodes; 4.0 s; peak memory 131 MiB.
2026-09-19T12:12:07Z INFO [16/500] 0624bbc1-b9be-4f19-bd72-217a0cd0059f: 17 internal nodes; 0.5 s; peak memory 131 MiB.
2026-09-19T12:12:07Z INFO [17/500] 0625454b-3c71-4c12-80d5-364cc5662786: 31 internal nodes; 0.8 s; peak memory 131 MiB.
2026-09-19T12:12:08Z INFO [18/500] 06255cc8-583e-4b9c-ab49-2f99c67f85b6: 17 internal nodes; 0.6 s; peak memory 131 MiB.
2026-09-19T12:12:09Z INFO [19/500] 06256cdc-1dfc-4e28-97c4-762a10292a0a: 17 internal nodes; 0.6 s; peak memory 131 MiB.
2026-09-19T12:12:09Z INFO [20/500] 0625ee95-6044-4b3e-8732-e8d0e10cff24: 13 internal nodes; 0.6 s; peak memory 131 MiB.
2026-09-19T12:12:11Z INFO [21/500] 06274a58-4672-4fd7-a657-5de59871f729: 40 internal nodes; 1.2 s; peak memory 131 MiB.
2026-09-19T12:12:11Z INFO [22/500] 06275527-a527-49e3-a056-751d0651ff62: 29 internal nodes; 0.7 s; peak memory 131 MiB.
2026-09-19T12:12:12Z INFO [23/500] 06279f06-3ffa-453b-83bf-0ec54af6bbce: 17 internal nodes; 0.4 s; peak memory 131 MiB.
2026-09-19T12:12:13Z INFO [24/500] 06280f2a-32ee-4375-95a2-b9802dc7c8a4: 44 internal nodes; 1.3 s; peak memory 131 MiB.
2026-09-19T12:12:14Z INFO [25/500] 06281662-2661-459e-99cc-c95a363aa43d: 54 internal nodes; 0.8 s; peak memory 131 MiB.
2026-09-19T12:12:14Z INFO [26/500] 06288bf7-8da2-4207-99a3-a22f04bec5fb: 23 internal nodes; 0.4 s; peak memory 131 MiB.
2026-09-19T12:12:15Z INFO [27/500] 0628f45e-a166-420a-83d7-05a08960fbf6: 27 internal nodes; 0.7 s; peak memory 131 MiB.
2026-09-19T12:12:15Z INFO [28/500] 06292771-63f6-4f40-b178-f34ac24b656b: 27 internal nodes; 0.4 s; peak memory 131 MiB.
2026-09-19T12:12:16Z INFO [29/500] 06296593-16c1-4f3a-8bef-712065d235ab: 115 internal nodes; 0.5 s; peak memory 131 MiB.
2026-09-19T12:12:16Z INFO [30/500] 06297fda-fad5-407d-8ff6-279b2300a4a6: 19 internal nodes; 0.5 s; peak memory 131 MiB.
2026-09-19T12:12:17Z INFO [31/500] 06298e72-8d52-48eb-87dc-defde3ebdd3f: 27 internal nodes; 0.6 s; peak memory 131 MiB.
2026-09-19T12:12:22Z INFO [32/500] 062b119c-f494-4efa-97b1-8461a0e1d5fd: 332 internal nodes; 5.4 s; peak memory 144 MiB.
2026-09-19T12:12:23Z INFO [33/500] 062b47a6-42ef-4588-bd13-37ddeac9c761: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:23Z INFO [34/500] 062b6d52-a344-491e-87f7-f013e2458f98: 11 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:24Z INFO [35/500] 062bee73-a15b-4e4b-83c7-9989c91de070: 27 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:12:24Z INFO [36/500] 062ce444-4791-47d1-8d9c-8d6eb52df596: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:25Z INFO [37/500] 062d3b4a-4952-46a0-a895-f853dd3674d8: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:25Z INFO [38/500] 062d860e-5f83-4524-9a2b-63a1b9f77290: 11 internal nodes; 0.3 s; peak memory 144 MiB.
2026-09-19T12:12:26Z INFO [39/500] 062d8774-c470-46c3-a0cb-472cf1f6211a: 39 internal nodes; 0.9 s; peak memory 144 MiB.
2026-09-19T12:12:27Z INFO [40/500] 062e37b3-c1ea-4369-92a8-3305988befaf: 43 internal nodes; 1.3 s; peak memory 144 MiB.
2026-09-19T12:12:28Z INFO [41/500] 062f0519-96fe-4124-b590-fd18d34c28fa: 31 internal nodes; 0.7 s; peak memory 144 MiB.
2026-09-19T12:12:29Z INFO [42/500] 062f71af-977a-4570-aadf-0d53c7fcaf34: 60 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:12:29Z INFO [43/500] 0630e495-2357-4782-ace1-0413c4179f74: 27 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:30Z INFO [44/500] 06315c81-1db7-4a5e-a867-725faef7b3e1: 31 internal nodes; 0.5 s; peak memory 144 MiB.
