2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T22:57:32Z INFO [3/500] 0b58ae3b-e4b9-4708-9aeb-79635eccbbce: 177 internal nodes; 6.6 s; peak memory 123 MiB.
2026-09-21T22:57:39Z INFO [4/500] 0b58ffb9-0c33-4c24-b376-ce14e7410c8f: 205 internal nodes; 6.9 s; peak memory 131 MiB.
2026-09-21T22:57:40Z INFO [5/500] 0b59310d-3d0c-49ee-910d-0db31f6d93ac: 29 internal nodes; 1.4 s; peak memory 131 MiB.
2026-09-21T22:57:51Z INFO [6/500] 0b599b0b-411a-4d6c-854c-355df753ebd1: 181 internal nodes; 10.6 s; peak memory 133 MiB.
2026-09-21T22:57:51Z INFO [7/500] 0b59da59-b4c8-430e-83c5-75f3af756e8a: 11 internal nodes; 0.7 s; peak memory 133 MiB.
2026-09-21T22:57:52Z INFO [8/500] 0b5a5155-035b-4762-9292-e832c13ce718: 17 internal nodes; 1.0 s; peak memory 133 MiB.
2026-09-21T22:57:53Z INFO [9/500] 0b5ad7a4-e520-460d-81f5-dad14f04ab31: 17 internal nodes; 0.9 s; peak memory 133 MiB.
2026-09-21T22:57:56Z INFO [10/500] 0b5bb620-19dc-494a-8aba-697fce76c7a8: 55 internal nodes; 3.0 s; peak memory 133 MiB.
2026-09-21T22:58:00Z INFO [11/500] 0b5bf2a0-6e1d-4a44-a80e-f165d98e495f: 46 internal nodes; 3.1 s; peak memory 133 MiB.
2026-09-21T22:58:01Z INFO [12/500] 0b5d01fd-38fd-465f-bcb6-a51abe2f2405: 53 internal nodes; 1.6 s; peak memory 133 MiB.
2026-09-21T22:58:02Z INFO [13/500] 0b5d3280-19f1-4757-be1e-71c5f2cfc699: 17 internal nodes; 1.0 s; peak memory 133 MiB.
2026-09-21T22:58:03Z INFO [14/500] 0b5e0512-ed0d-40ad-a7ef-94ade1d447b1: 11 internal nodes; 1.0 s; peak memory 133 MiB.
2026-09-21T22:58:04Z INFO [15/500] 0b5e1c0e-ff4b-4835-a120-1eba09f5ab02: 34 internal nodes; 0.9 s; peak memory 133 MiB.
2026-09-21T22:58:06Z INFO [16/500] 0b5f2f7b-d698-417a-99ec-b65554b210f4: 39 internal nodes; 1.8 s; peak memory 133 MiB.
2026-09-21T22:58:07Z INFO [17/500] 0b603f9b-5d80-4f86-b911-ccc735e3ded3: 115 internal nodes; 1.2 s; peak memory 133 MiB.
2026-09-21T22:58:09Z INFO [18/500] 0b613280-c877-47f9-8153-e86b86c9a55b: 67 internal nodes; 1.8 s; peak memory 133 MiB.
2026-09-21T22:58:11Z INFO [19/500] 0b614824-62c0-46aa-b1f1-e889b9225e13: 66 internal nodes; 2.2 s; peak memory 133 MiB.
2026-09-21T22:58:14Z INFO [20/500] 0b616eed-1b64-4f35-bcc1-ae670df9b5e3: 46 internal nodes; 3.1 s; peak memory 133 MiB.
2026-09-21T22:58:15Z INFO [21/500] 0b61705d-ecc2-408d-8429-629168f40988: 22 internal nodes; 1.1 s; peak memory 133 MiB.
2026-09-21T22:58:16Z INFO [22/500] 0b6182a5-958f-40b9-9ca5-f2edf2f8078d: 27 internal nodes; 1.3 s; peak memory 133 MiB.
2026-09-21T22:58:18Z INFO [23/500] 0b61dcc5-a904-439f-a930-6d46308aa0ec: 27 internal nodes; 1.2 s; peak memory 133 MiB.
2026-09-21T22:58:19Z INFO [24/500] 0b62044e-b3aa-4803-80ea-be0eaf70c770: 27 internal nodes; 1.0 s; peak memory 133 MiB.
2026-09-21T22:58:20Z INFO [25/500] 0b6349ce-2ee4-4ae3-afa8-f311e198c027: 17 internal nodes; 1.0 s; peak memory 133 MiB.
2026-09-21T22:58:27Z INFO [26/500] 0b640a6e-336d-43dd-a08a-a46a0c7b024e: 177 internal nodes; 7.3 s; peak memory 133 MiB.
2026-09-21T22:58:28Z INFO [27/500] 0b64b9d9-e596-4a07-a9bb-4773a7e04d2e: 27 internal nodes; 1.4 s; peak memory 133 MiB.
