2026-09-22T12:59:50Z INFO Logging to /tmp/logs/update_2026-09-22T12-59-50Z.log.
2026-09-22T12:59:50Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-22T12:59:50Z INFO Processing 500 items (51997 already recorded).
2026-09-22T12:59:52Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:52Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-22T12:59:54Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:54Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-22T12:59:55Z INFO [3/500] 0c5eb826-6d32-4d63-bee3-67f375c4544d: 61 internal nodes; 1.6 s; peak memory 112 MiB.
2026-09-22T12:59:56Z INFO [4/500] 0c5f8309-f79d-4fb2-8e96-49d1d7e0caf9: 12 internal nodes; 1.0 s; peak memory 112 MiB.
2026-09-22T12:59:58Z INFO [5/500] 0c60812a-6085-4930-ace0-c7548ef5a301: 40 internal nodes; 1.5 s; peak memory 113 MiB.
2026-09-22T12:59:59Z INFO [6/500] 0c612837-51b8-4f11-8123-a707476c6ef6: 27 internal nodes; 1.4 s; peak memory 114 MiB.
2026-09-22T13:00:00Z INFO [7/500] 0c61a69a-4751-4c3b-8e56-fe2aeba29068: 26 internal nodes; 1.1 s; peak memory 114 MiB.
2026-09-22T13:00:01Z INFO [8/500] 0c61cae7-6bda-4dad-8ca5-0f5f08cecf7b: 18 internal nodes; 1.3 s; peak memory 114 MiB.
2026-09-22T13:00:16Z INFO [9/500] 0c61d606-b845-40b3-a391-e1943ebf50ce: 396 internal nodes; 14.9 s; peak memory 150 MiB.
2026-09-22T13:00:18Z INFO [10/500] 0c627432-87fc-4bf1-9923-32c918d97eb3: 27 internal nodes; 1.3 s; peak memory 150 MiB.
2026-09-22T13:00:19Z INFO [11/500] 0c62967c-04b2-4887-a204-d256ae4efe3f: 86 internal nodes; 1.4 s; peak memory 150 MiB.
2026-09-22T13:00:21Z INFO [12/500] 0c62b415-943a-4993-a231-37aa317abac4: 65 internal nodes; 2.0 s; peak memory 150 MiB.
2026-09-22T13:00:22Z INFO [13/500] 0c62ddf1-2d91-4635-895f-8ab34aac59bc: 17 internal nodes; 1.1 s; peak memory 150 MiB.
2026-09-22T13:00:33Z INFO [14/500] 0c638c41-e227-45d5-a861-7ffe1519db5d: 190 internal nodes; 10.5 s; peak memory 150 MiB.
2026-09-22T13:00:34Z INFO [15/500] 0c63bb7a-ef4c-4138-8769-9fc04547a778: 31 internal nodes; 1.6 s; peak memory 150 MiB.
2026-09-22T13:00:35Z INFO [16/500] 0c63e1b0-5fd0-41b8-b82e-c5e51501b3fc: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:00:36Z INFO [17/500] 0c6423a8-7849-46c0-929a-5a1630eebe21: 17 internal nodes; 1.0 s; peak memory 150 MiB.
2026-09-22T13:00:37Z INFO [18/500] 0c64467b-6f56-4af1-ac06-c31f84e4fa38: 27 internal nodes; 1.3 s; peak memory 150 MiB.
2026-09-22T13:00:38Z INFO [19/500] 0c64e785-3589-4082-a517-7a5e45a1c4ce: 11 internal nodes; 1.1 s; peak memory 150 MiB.
