2026-09-23T13:11:35Z INFO Logging to /tmp/logs/update_2026-09-23T13-11-35Z.log.
2026-09-23T13:11:35Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-23T13:11:36Z INFO Processing 500 items (52992 already recorded).
2026-09-23T13:11:38Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:11:38Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-23T13:11:39Z INFO [2/500] 03cdc3ac-ee4a-4073-996f-67362a1e8905: 23 internal nodes; 1.6 s; peak memory 113 MiB.
2026-09-23T13:11:41Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:11:41Z WARNING [3/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-23T13:11:43Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:11:43Z WARNING [4/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-23T13:11:46Z INFO [5/500] 0e716bcf-d523-4825-a874-8fe69dfc0527: 44 internal nodes; 3.2 s; peak memory 119 MiB.
2026-09-23T13:11:47Z INFO [6/500] 0e718c7a-054c-4dbc-9460-032d78886ce2: 19 internal nodes; 1.3 s; peak memory 119 MiB.
2026-09-23T13:11:48Z INFO [7/500] 0e7193fa-d196-4c5b-85df-285586231781: 17 internal nodes; 1.0 s; peak memory 119 MiB.
2026-09-23T13:11:50Z INFO [8/500] 0e72b50e-929d-4ea9-8e5a-816d1b03e2e2: 31 internal nodes; 1.4 s; peak memory 120 MiB.
2026-09-23T13:11:51Z INFO [9/500] 0e7317b5-f4b7-4255-8ece-11ace8be15d1: 17 internal nodes; 1.1 s; peak memory 120 MiB.
2026-09-23T13:11:53Z INFO [10/500] 0e733d9f-8738-4da3-9144-98a2948af7aa: 37 internal nodes; 1.9 s; peak memory 120 MiB.
2026-09-23T13:11:54Z INFO [11/500] 0e747274-378b-4075-88c2-263d72d8a622: 26 internal nodes; 1.9 s; peak memory 120 MiB.
2026-09-23T13:11:56Z INFO [12/500] 0e7489dc-e3e5-48e1-bc8d-5fe40910b3f4: 18 internal nodes; 1.5 s; peak memory 120 MiB.
2026-09-23T13:11:57Z INFO [13/500] 0e75489e-5aa8-486f-827a-a04d2343f4d9: 11 internal nodes; 1.0 s; peak memory 120 MiB.
2026-09-23T13:11:59Z INFO [14/500] 0e75f14e-fde4-4cfa-8702-84d418c7f0b3: 29 internal nodes; 2.2 s; peak memory 121 MiB.
2026-09-23T13:12:00Z INFO [15/500] 0e75f291-d597-4d5f-b8f6-4f9d1c5b3a3f: 26 internal nodes; 0.8 s; peak memory 121 MiB.
2026-09-23T13:12:02Z INFO [16/500] 0e76b309-62f7-46df-814b-70e229bd1faa: 31 internal nodes; 1.9 s; peak memory 121 MiB.
2026-09-23T13:12:03Z INFO [17/500] 0e77308f-d211-4307-bc93-0e9accc5e842: 115 internal nodes; 1.5 s; peak memory 121 MiB.
2026-09-23T13:12:05Z INFO [18/500] 0e777e49-e6ae-49c8-a099-d6391bab6abd: 14 internal nodes; 1.4 s; peak memory 121 MiB.
2026-09-23T13:12:11Z INFO [19/500] 0e7796ac-b9f8-46ef-a25f-42585f4e424d: 73 internal nodes; 5.9 s; peak memory 126 MiB.
2026-09-23T13:12:21Z INFO [20/500] 0e7859fd-de4d-4aee-836e-c33b3366551a: 194 internal nodes; 10.1 s; peak memory 136 MiB.
2026-09-23T13:12:22Z INFO [21/500] 0e79515d-b46c-4018-b830-fb7771882227: 13 internal nodes; 1.2 s; peak memory 136 MiB.
2026-09-23T13:12:23Z INFO [22/500] 0e7a0cfa-dd06-4b6c-b5a4-b07bdef3246a: 17 internal nodes; 1.2 s; peak memory 136 MiB.
2026-09-23T13:12:25Z INFO [23/500] 0e7a5f18-f79b-4185-bd11-0b622dc9b10d: 27 internal nodes; 1.6 s; peak memory 136 MiB.
2026-09-23T13:12:26Z INFO [24/500] 0e7ac1f1-9613-48a1-81a0-3efff6ef3dac: 26 internal nodes; 1.7 s; peak memory 136 MiB.
2026-09-23T13:12:28Z INFO [25/500] 0e7ae5ae-b0a9-4be3-8f8c-cf44df5b90ab: 58 internal nodes; 1.9 s; peak memory 136 MiB.
2026-09-23T13:12:30Z INFO [26/500] 0e7b7d87-5fbf-4e6d-b634-45194a4b1cf9: 53 internal nodes; 1.6 s; peak memory 136 MiB.
2026-09-23T13:12:31Z INFO [27/500] 0e7bec3d-0c4c-44da-ba8f-a0986c19cd7e: 17 internal nodes; 1.2 s; peak memory 136 MiB.
2026-09-23T13:12:32Z INFO [28/500] 0e7c49ff-a6e4-4e16-828f-b1bd428aa288: 13 internal nodes; 1.1 s; peak memory 136 MiB.
2026-09-23T13:12:35Z INFO [29/500] 0e7d7d5b-7ec6-4673-b547-2be3d69cf423: 47 internal nodes; 3.3 s; peak memory 136 MiB.
2026-09-23T13:12:39Z INFO [30/500] 0e7e8d3c-19c7-4303-a6ba-9c758fb9a775: 44 internal nodes; 3.0 s; peak memory 136 MiB.
2026-09-23T13:12:40Z INFO [31/500] 0e7f9dd4-0280-471e-b6c8-83444216d162: 27 internal nodes; 1.4 s; peak memory 136 MiB.
2026-09-23T13:12:42Z INFO [32/500] 0e7fe07d-349f-4c48-ae06-20736dbe286d: 53 internal nodes; 1.9 s; peak memory 136 MiB.
2026-09-23T13:12:43Z INFO [33/500] 0e800c69-ca1a-4bd5-8c90-a9fa3ee8e1cb: 17 internal nodes; 1.3 s; peak memory 136 MiB.
2026-09-23T13:12:48Z INFO [34/500] 0e801d89-b98e-42db-88ff-10f05442f796: 91 internal nodes; 5.3 s; peak memory 136 MiB.
2026-09-23T13:12:56Z INFO [35/500] 0e806614-fa68-4c1e-812b-fac8d68d52cb: 188 internal nodes; 7.6 s; peak memory 136 MiB.
2026-09-23T13:12:57Z INFO [36/500] 0e81aa5a-df84-4162-aeed-3a47a3acafa1: 17 internal nodes; 1.3 s; peak memory 136 MiB.
2026-09-23T13:13:01Z INFO [37/500] 0e81deb8-0f28-4287-8cf6-c42048f7a299: 46 internal nodes; 3.9 s; peak memory 136 MiB.
2026-09-23T13:13:04Z INFO [38/500] 0e81fd75-e976-4824-b5d5-2c68d1e911b1: 42 internal nodes; 2.5 s; peak memory 136 MiB.
2026-09-23T13:13:05Z INFO [39/500] 0e82391e-c0e6-4207-8660-661ccd07e5b1: 27 internal nodes; 1.7 s; peak memory 136 MiB.
