2026-09-24T13:04:38Z INFO Logging to /tmp/logs/update_2026-09-24T13-04-38Z.log.
2026-09-24T13:04:38Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-24T13:04:38Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:04:40Z INFO [1/500] 004dcca0-34c8-4b04-8229-bb49b3d00a29: 24 internal nodes; 1.8 s; peak memory 112 MiB.
2026-09-24T13:04:42Z INFO [2/500] 00cec8b0-5164-4a3a-a02c-946d70edfb6b: 27 internal nodes; 2.3 s; peak memory 114 MiB.
2026-09-24T13:04:44Z INFO [3/500] 018d6083-942f-4322-948a-5416034d58b0: 27 internal nodes; 2.2 s; peak memory 114 MiB.
2026-09-24T13:04:46Z INFO [4/500] 019f7ec4-5618-4756-8fd4-f19708b07477: 27 internal nodes; 2.1 s; peak memory 114 MiB.
2026-09-24T13:04:48Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:04:48Z WARNING [5/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-24T13:04:51Z INFO [6/500] 02a91933-a207-4f1f-828e-1884d7d1ca6d: 27 internal nodes; 2.6 s; peak memory 115 MiB.
2026-09-24T13:04:53Z INFO [7/500] 02c7245a-55cc-4225-9a80-1763a746f953: 24 internal nodes; 1.9 s; peak memory 115 MiB.
2026-09-24T13:04:55Z INFO [8/500] 0347b886-5145-4ff5-b921-7ddb454bbd7a: 27 internal nodes; 2.5 s; peak memory 116 MiB.
2026-09-24T13:04:58Z INFO [9/500] 045e19bf-4aef-45d1-81ec-7f9ad0d28c62: 23 internal nodes; 2.3 s; peak memory 116 MiB.
2026-09-24T13:04:59Z INFO [10/500] 05676ec9-7f1c-4840-8939-05161b45a42c: 23 internal nodes; 1.7 s; peak memory 116 MiB.
2026-09-24T13:05:01Z INFO [11/500] 062eaefe-3055-4a5d-9558-32662cbc1f93: 26 internal nodes; 2.0 s; peak memory 116 MiB.
2026-09-24T13:05:04Z INFO [12/500] 06a5808d-5e32-4eb4-be2e-67c9d09659d8: 22 internal nodes; 2.2 s; peak memory 117 MiB.
2026-09-24T13:05:06Z INFO [13/500] 072c019d-53f2-4cc1-b181-ec9218dcf84d: 27 internal nodes; 2.2 s; peak memory 118 MiB.
2026-09-24T13:05:08Z INFO [14/500] 0874236c-84ca-4a13-8c5a-00aea7f2dbbf: 22 internal nodes; 2.0 s; peak memory 118 MiB.
2026-09-24T13:05:09Z INFO [15/500] 08d66869-7fa3-4e85-93dc-143a69068a57: 24 internal nodes; 1.7 s; peak memory 118 MiB.
2026-09-24T13:05:11Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:05:11Z WARNING [16/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-24T13:05:13Z INFO [17/500] 091525e3-b436-4d91-b3ef-0bd761356383: 24 internal nodes; 2.0 s; peak memory 118 MiB.
2026-09-24T13:05:15Z INFO [18/500] 09d932df-3e9d-4b8f-af27-95b57bea2495: 27 internal nodes; 2.1 s; peak memory 119 MiB.
2026-09-24T13:05:17Z INFO [19/500] 0a61a66c-eafa-45eb-9f9d-5eca1dcf6e91: 26 internal nodes; 2.0 s; peak memory 119 MiB.
2026-09-24T13:05:19Z INFO [20/500] 0a73ada3-fef1-4414-9aa5-41e6ec146645: 26 internal nodes; 2.2 s; peak memory 119 MiB.
2026-09-24T13:05:22Z INFO [21/500] 0bbe4ddd-6289-4caa-8ad9-70bfc9f9bdc3: 26 internal nodes; 2.1 s; peak memory 119 MiB.
2026-09-24T13:05:23Z INFO [22/500] 0bc50623-3a3d-4aac-a63b-09643095843c: 24 internal nodes; 2.0 s; peak memory 119 MiB.
2026-09-24T13:05:26Z INFO [23/500] 0c2f9cb4-2971-450c-b5fe-6d105c2d387d: 26 internal nodes; 2.2 s; peak memory 119 MiB.
2026-09-24T13:05:28Z INFO [24/500] 0c55c2b0-4277-47ea-94c1-3598a129cbd5: 27 internal nodes; 2.5 s; peak memory 119 MiB.
2026-09-24T13:05:30Z INFO [25/500] 0ca67967-0dd6-4297-8206-bf3d0619b47e: 27 internal nodes; 2.1 s; peak memory 119 MiB.
2026-09-24T13:05:32Z INFO [26/500] 0cc674f1-2ea7-483f-b709-f849f624b9c2: 24 internal nodes; 1.8 s; peak memory 119 MiB.
2026-09-24T13:05:34Z INFO [27/500] 0ccdca3f-8e47-4108-b9e6-e63ab7b44eb6: 24 internal nodes; 1.7 s; peak memory 119 MiB.
2026-09-24T13:05:36Z INFO [28/500] 0d72160e-3cf8-46e9-bd53-ee54e128f1ce: 27 internal nodes; 2.5 s; peak memory 119 MiB.
2026-09-24T13:05:38Z INFO [29/500] 0d935ecf-80f5-44fe-be6d-298b7f163f29: 27 internal nodes; 2.2 s; peak memory 119 MiB.
2026-09-24T13:05:40Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:05:40Z WARNING [30/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-24T13:05:43Z INFO [31/500] 0eea9aad-258e-4bb3-ad83-b2246152fedb: 27 internal nodes; 3.0 s; peak memory 120 MiB.
2026-09-24T13:05:45Z WARNING 0f7396ad-67ec-468a-b6a6-5599cb507f54: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:05:45Z WARNING [32/500] 0f7396ad-67ec-468a-b6a6-5599cb507f54: leaving unrecorded for a later run to retry.
2026-09-24T13:05:46Z WARNING 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:05:46Z WARNING [33/500] 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: leaving unrecorded for a later run to retry.
2026-09-24T13:05:48Z INFO [34/500] 107ada9d-9086-400d-90c3-75caeaa64ba1: 31 internal nodes; 1.8 s; peak memory 120 MiB.
2026-09-24T13:06:05Z INFO [35/500] 107be61a-e96e-4030-ab88-5a5700d1211c: 137 internal nodes; 16.4 s; peak memory 142 MiB.
2026-09-24T13:06:06Z INFO [36/500] 107d8c59-a8cf-41c7-b6f7-ab0507a80977: 18 internal nodes; 1.1 s; peak memory 142 MiB.
2026-09-24T13:06:09Z INFO [37/500] 107e23f8-679a-43f8-8d05-b868f6dc0b8a: 44 internal nodes; 2.7 s; peak memory 142 MiB.
2026-09-24T13:06:10Z INFO [38/500] 107e71e7-a57a-4c16-ad68-3d02bb243800: 30 internal nodes; 1.6 s; peak memory 142 MiB.
2026-09-24T13:06:11Z INFO [39/500] 107ed871-8dcc-47a1-a139-4f11dc432bb8: 17 internal nodes; 1.2 s; peak memory 142 MiB.
2026-09-24T13:06:12Z INFO [40/500] 107f286c-4cbb-4fd5-8bab-c6c36bd8a01a: 11 internal nodes; 0.8 s; peak memory 142 MiB.
2026-09-24T13:06:23Z INFO [41/500] 107ff394-0d1f-4773-98b1-e068b053033f: 237 internal nodes; 10.8 s; peak memory 142 MiB.
2026-09-24T13:06:25Z INFO [42/500] 1081dc00-f182-4862-98f6-bc21894fd0a1: 67 internal nodes; 1.6 s; peak memory 142 MiB.
2026-09-24T13:06:26Z INFO [43/500] 1082468e-861c-4f74-b4f6-28f6d16a2a8b: 27 internal nodes; 1.4 s; peak memory 142 MiB.
2026-09-24T13:06:29Z INFO [44/500] 1082e055-4b5b-4085-8997-9b7869860a94: 44 internal nodes; 3.0 s; peak memory 142 MiB.
2026-09-24T13:06:30Z INFO [45/500] 10837b5e-05ee-4b2f-93aa-516f4e467c91: 17 internal nodes; 1.0 s; peak memory 142 MiB.
