2026-09-24T22:53:44Z INFO Logging to /tmp/logs/update_2026-09-24T22-53-44Z.log.
2026-09-24T22:53:44Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-24T22:53:44Z INFO Processing 500 items (54479 already recorded).
2026-09-24T22:53:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T22:53:46Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-24T22:53:47Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T22:53:47Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-24T22:53:49Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T22:53:49Z WARNING [3/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-24T22:53:50Z WARNING 0f7396ad-67ec-468a-b6a6-5599cb507f54: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T22:53:50Z WARNING [4/500] 0f7396ad-67ec-468a-b6a6-5599cb507f54: leaving unrecorded for a later run to retry.
2026-09-24T22:53:52Z WARNING 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T22:53:52Z WARNING [5/500] 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: leaving unrecorded for a later run to retry.
2026-09-24T22:53:58Z INFO [6/500] 1173798e-43a0-4f10-b832-e7b8469493ea: 68 internal nodes; 5.8 s; peak memory 128 MiB.
2026-09-24T22:53:59Z INFO [7/500] 11745690-30ba-459c-bb41-1abec2d3a800: 17 internal nodes; 1.0 s; peak memory 128 MiB.
2026-09-24T22:54:00Z INFO [8/500] 1174d7f7-ed85-47aa-a2ce-4a67440e0b9d: 120 internal nodes; 1.6 s; peak memory 128 MiB.
2026-09-24T22:54:02Z INFO [9/500] 1174fb0c-cd02-4bf1-be60-92fda6504a67: 44 internal nodes; 2.0 s; peak memory 128 MiB.
2026-09-24T22:54:03Z INFO [10/500] 117563a4-f582-4752-904e-77dc4b2a625b: 13 internal nodes; 1.0 s; peak memory 128 MiB.
2026-09-24T22:54:05Z INFO [11/500] 11756e3e-7284-4a13-8908-9fb52f9fe55a: 18 internal nodes; 1.4 s; peak memory 128 MiB.
2026-09-24T22:54:06Z INFO [12/500] 11760bfe-017e-4f70-b6ae-9932d83900dd: 13 internal nodes; 1.0 s; peak memory 128 MiB.
2026-09-24T22:54:07Z INFO [13/500] 11767948-318a-44da-bf6a-11006b27e870: 53 internal nodes; 1.6 s; peak memory 128 MiB.
2026-09-24T22:54:08Z INFO [14/500] 1176ef68-bd17-462c-bea5-43942de26c81: 13 internal nodes; 0.9 s; peak memory 128 MiB.
2026-09-24T22:54:09Z INFO [15/500] 1177650e-cd7c-4119-b9fd-610439b69dac: 23 internal nodes; 1.1 s; peak memory 128 MiB.
2026-09-24T22:54:20Z INFO [16/500] 1177a123-0055-471d-a84a-a77dd3742ab6: 64 internal nodes; 10.7 s; peak memory 132 MiB.
2026-09-24T22:54:27Z INFO [17/500] 1177ae93-fdbf-4147-98ec-5f90c2ba3320: 136 internal nodes; 7.3 s; peak memory 132 MiB.
2026-09-24T22:54:29Z INFO [18/500] 11785b42-9e65-4127-8d7e-eca3f69b5a09: 65 internal nodes; 1.7 s; peak memory 132 MiB.
2026-09-24T22:54:31Z INFO [19/500] 117863dd-9deb-4bd2-ba02-6dd37ae68917: 58 internal nodes; 1.7 s; peak memory 132 MiB.
2026-09-24T22:54:33Z INFO [20/500] 1178bd63-6cf9-4665-b76d-92a354fc493c: 25 internal nodes; 2.4 s; peak memory 132 MiB.
2026-09-24T22:54:34Z INFO [21/500] 1178fea4-7fc1-4ef6-811b-1a1f627e46ff: 17 internal nodes; 1.0 s; peak memory 132 MiB.
2026-09-24T22:54:35Z INFO [22/500] 117937f5-d57e-4f0e-b619-3bb2d0b97ce8: 27 internal nodes; 1.2 s; peak memory 132 MiB.
2026-09-24T22:54:36Z INFO [23/500] 11797bdf-c6d6-4387-a02e-8ed2346f61bf: 17 internal nodes; 0.9 s; peak memory 132 MiB.
2026-09-24T22:54:37Z INFO [24/500] 1179bcf1-3153-4931-8eed-839a57bc6afb: 22 internal nodes; 0.7 s; peak memory 132 MiB.
2026-09-24T22:54:38Z INFO [25/500] 117a764a-37cf-4d40-8a21-43cabae1d66e: 26 internal nodes; 0.9 s; peak memory 132 MiB.
2026-09-24T22:54:39Z INFO [26/500] 117d178f-b3d3-4ea1-b41f-ab4a289c96d5: 17 internal nodes; 1.0 s; peak memory 132 MiB.
2026-09-24T22:54:40Z INFO [27/500] 117d997e-fae5-4f3e-9cdb-9d4b5468571f: 27 internal nodes; 1.3 s; peak memory 132 MiB.
2026-09-24T22:54:41Z INFO [28/500] 117ebb7a-e806-4884-8604-67a9280df774: 29 internal nodes; 0.9 s; peak memory 132 MiB.
2026-09-24T22:54:42Z INFO [29/500] 117ed143-ed0a-4d7a-986b-ca71a4f94574: 28 internal nodes; 1.5 s; peak memory 132 MiB.
2026-09-24T22:54:44Z INFO [30/500] 117f610b-e66a-48bd-8244-417674542ee3: 27 internal nodes; 1.3 s; peak memory 132 MiB.
2026-09-24T22:54:47Z INFO [31/500] 11808620-996b-40bb-b37b-f62fa8839740: 46 internal nodes; 3.3 s; peak memory 132 MiB.
2026-09-24T22:54:48Z INFO [32/500] 118100c2-770f-4eb8-a6bc-7cc4f3cbb4e2: 115 internal nodes; 1.3 s; peak memory 132 MiB.
2026-09-24T22:54:52Z INFO [33/500] 1181144a-2faf-4ff1-a133-76f011280276: 46 internal nodes; 3.5 s; peak memory 132 MiB.
2026-09-24T22:54:53Z INFO [34/500] 1181a0f3-221f-45ef-b592-6de82a01bd5e: 27 internal nodes; 1.2 s; peak memory 132 MiB.
2026-09-24T22:54:55Z INFO [35/500] 1181b8e8-9f6c-4779-b8fe-1db3dde67160: 29 internal nodes; 1.8 s; peak memory 132 MiB.
2026-09-24T22:54:56Z INFO [36/500] 1182040a-0fa0-423f-9862-b5c992cbef49: 27 internal nodes; 1.2 s; peak memory 132 MiB.
2026-09-24T22:54:57Z INFO [37/500] 11827a3d-a9e8-41dd-ba43-fc31ed9a1292: 27 internal nodes; 1.2 s; peak memory 132 MiB.
2026-09-24T22:55:07Z INFO [38/500] 1182f3ac-c9c7-4dff-8ea0-b21aee6cf1ae: 114 internal nodes; 9.9 s; peak memory 136 MiB.
2026-09-24T22:55:08Z INFO [39/500] 11845074-9f94-4405-8aa3-129bc49f56ea: 25 internal nodes; 1.4 s; peak memory 136 MiB.
2026-09-24T22:55:15Z INFO [40/500] 11860e33-abd2-476b-86d0-4600aa9e095d: 46 internal nodes; 7.0 s; peak memory 136 MiB.
2026-09-24T22:55:16Z INFO [41/500] 11863281-688c-4e26-b8d6-d392f2ee466a: 19 internal nodes; 0.9 s; peak memory 136 MiB.
2026-09-24T22:55:17Z INFO [42/500] 11865de2-c651-4a37-bd86-d7ef77f110ef: 17 internal nodes; 1.1 s; peak memory 136 MiB.
2026-09-24T22:55:19Z INFO [43/500] 1186b8ef-36d4-4943-acfe-80fd00b5c522: 24 internal nodes; 1.9 s; peak memory 136 MiB.
2026-09-24T22:55:20Z INFO [44/500] 1186e3ac-1287-45d4-be59-2c89601cdd84: 27 internal nodes; 1.1 s; peak memory 136 MiB.
2026-09-24T22:55:21Z INFO [45/500] 118720f7-d7d5-4b1d-bfaf-75e2d38f9a26: 17 internal nodes; 1.0 s; peak memory 136 MiB.
2026-09-24T22:55:22Z INFO [46/500] 118728c0-c103-4220-a90d-ea65e928c69e: 17 internal nodes; 1.1 s; peak memory 136 MiB.
2026-09-24T22:55:24Z INFO [47/500] 11878d89-ee6a-4503-bff1-4c81b552116f: 31 internal nodes; 1.8 s; peak memory 136 MiB.
2026-09-24T22:55:25Z INFO [48/500] 1187f22d-579b-4668-aeae-f9aa1d4d7417: 17 internal nodes; 0.9 s; peak memory 136 MiB.
2026-09-24T22:55:28Z INFO [49/500] 1187f3f5-0f66-4a9a-84d0-889dd65ce640: 67 internal nodes; 2.7 s; peak memory 136 MiB.
2026-09-24T22:55:36Z INFO [50/500] 11885f42-109e-4a9e-8264-25d6f9ae462b: 140 internal nodes; 7.7 s; peak memory 136 MiB.
2026-09-24T22:55:36Z INFO [50/500] 11885f42-109e-4a9e-8264-25d6f9ae462b: checkpointed 54524 records.
2026-09-24T22:55:38Z INFO [51/500] 11888b31-07be-4694-9a74-0da5b059c1e8: 31 internal nodes; 2.0 s; peak memory 136 MiB.
2026-09-24T22:55:40Z INFO [52/500] 1188b656-31d0-45d4-bd0b-11708f2906c3: 32 internal nodes; 1.7 s; peak memory 136 MiB.
2026-09-24T22:55:41Z INFO [53/500] 1188f612-33e5-453d-804b-e6eb4aee47de: 27 internal nodes; 1.1 s; peak memory 136 MiB.
2026-09-24T22:55:42Z INFO [54/500] 118a173f-68ae-42a5-a670-68882dc72c96: 29 internal nodes; 1.6 s; peak memory 136 MiB.
2026-09-24T22:55:59Z INFO [55/500] 118a539d-9da4-4806-a14c-9f153e60e8d6: 173 internal nodes; 16.5 s; peak memory 138 MiB.
2026-09-24T22:56:01Z INFO [56/500] 118aca9c-4945-4907-bd9d-c912d41d4d1f: 31 internal nodes; 1.8 s; peak memory 138 MiB.
2026-09-24T22:56:02Z INFO [57/500] 118b5e4b-f67e-4e0a-a001-6c219947580e: 13 internal nodes; 0.9 s; peak memory 138 MiB.
2026-09-24T22:56:03Z INFO [58/500] 118e6f12-9157-47b2-8cc5-78eab2d9f39d: 25 internal nodes; 1.2 s; peak memory 138 MiB.
2026-09-24T22:56:04Z INFO [59/500] 118eba48-c260-450b-be0a-1a9a1e0275be: 17 internal nodes; 0.9 s; peak memory 138 MiB.
2026-09-24T22:56:05Z INFO [60/500] 118ffef4-c23b-41af-a8ed-b65d5a6402d4: 27 internal nodes; 1.3 s; peak memory 138 MiB.
2026-09-24T22:56:06Z INFO [61/500] 1191366a-14e9-44e9-a67d-d6c8214de1e0: 90 internal nodes; 1.2 s; peak memory 138 MiB.
2026-09-24T22:56:07Z INFO [62/500] 11914ae7-d0d2-4044-8fb0-62d0066988b9: 25 internal nodes; 1.2 s; peak memory 138 MiB.
