2026-09-25T13:09:20Z INFO Logging to /tmp/logs/update_2026-09-25T13-09-20Z.log.
2026-09-25T13:09:20Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-25T13:09:20Z INFO Processing 500 items (54974 already recorded).
2026-09-25T13:09:23Z INFO [1/500] 0067cb5b-7fee-42a2-b9ef-088496361431: 31 internal nodes; 2.9 s; peak memory 114 MiB.
2026-09-25T13:09:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T13:09:24Z WARNING [2/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-25T13:09:26Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T13:09:26Z WARNING [3/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-25T13:09:30Z INFO [4/500] 0a070021-3e71-4aed-857d-f083620feb92: 36 internal nodes; 3.5 s; peak memory 120 MiB.
2026-09-25T13:09:31Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T13:09:31Z WARNING [5/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-25T13:09:33Z WARNING 0f7396ad-67ec-468a-b6a6-5599cb507f54: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T13:09:33Z WARNING [6/500] 0f7396ad-67ec-468a-b6a6-5599cb507f54: leaving unrecorded for a later run to retry.
2026-09-25T13:09:34Z WARNING 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T13:09:34Z WARNING [7/500] 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: leaving unrecorded for a later run to retry.
2026-09-25T13:09:43Z INFO [8/500] 1272cf92-43de-4699-8599-fb7e7fd455d1: 224 internal nodes; 8.5 s; peak memory 143 MiB.
2026-09-25T13:09:50Z INFO [9/500] 1272dd63-01c6-4829-8def-bd037dc8e498: 135 internal nodes; 7.3 s; peak memory 143 MiB.
2026-09-25T13:09:51Z INFO [10/500] 12736698-00d5-411e-968e-a14f73946bf1: 17 internal nodes; 1.2 s; peak memory 143 MiB.
2026-09-25T13:10:04Z INFO [11/500] 12765c87-15a9-4ffb-a869-d4c15afe30d9: 326 internal nodes; 12.7 s; peak memory 147 MiB.
2026-09-25T13:10:06Z INFO [12/500] 12778a87-a686-46e6-8fc5-4e2523546e9d: 27 internal nodes; 1.6 s; peak memory 147 MiB.
2026-09-25T13:10:08Z INFO [13/500] 1277f007-9fa6-4c59-9a36-73878dd15e87: 69 internal nodes; 2.5 s; peak memory 147 MiB.
2026-09-25T13:10:18Z INFO [14/500] 12783649-b0bf-464b-a696-959c40ea9ffc: 224 internal nodes; 9.9 s; peak memory 147 MiB.
2026-09-25T13:10:19Z INFO [15/500] 12785737-e900-4b13-8d48-69ec405000b9: 20 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-25T13:10:21Z INFO [16/500] 127904ba-562f-4819-b011-f9404707c435: 38 internal nodes; 1.6 s; peak memory 147 MiB.
2026-09-25T13:10:22Z INFO [17/500] 127ac66d-4861-4a48-975f-4a51537a1f22: 27 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-25T13:10:32Z INFO [18/500] 127ba951-a417-4de7-917e-f0672ede66d1: 183 internal nodes; 10.4 s; peak memory 147 MiB.
2026-09-25T13:10:33Z INFO [19/500] 127ba9f5-293d-44b5-b22b-c8e4610636e2: 11 internal nodes; 0.7 s; peak memory 147 MiB.
2026-09-25T13:10:35Z INFO [20/500] 127bf413-1ec1-4f68-b977-227cc186c062: 27 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-25T13:10:37Z INFO [21/500] 127c2a09-3b77-44a7-9631-c64442a2ad0a: 44 internal nodes; 2.2 s; peak memory 147 MiB.
2026-09-25T13:10:40Z INFO [22/500] 127cd283-1d5b-47b9-b111-808584826f92: 44 internal nodes; 2.9 s; peak memory 147 MiB.
2026-09-25T13:10:45Z INFO [23/500] 127cf127-c3ef-4d2b-9ef2-339188cf2c04: 73 internal nodes; 5.5 s; peak memory 147 MiB.
2026-09-25T13:10:46Z INFO [24/500] 127d216b-99ed-4b1b-91d2-74e12334f150: 24 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-25T13:10:48Z INFO [25/500] 127dbdc5-b921-4cdb-b216-ecbb5cdaa1c3: 31 internal nodes; 1.6 s; peak memory 147 MiB.
2026-09-25T13:10:49Z INFO [26/500] 127ec4c3-cf35-4aae-be88-38e19dcc7c19: 61 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-25T13:10:51Z INFO [27/500] 127f17d3-8b3b-4ede-9fb8-90c97b6e289b: 119 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-25T13:11:06Z INFO [28/500] 127f705c-f27e-4b06-8b28-f906d0451313: 133 internal nodes; 15.3 s; peak memory 147 MiB.
2026-09-25T13:11:13Z INFO [29/500] 127f7149-5e5c-4ac4-b321-7566680132c0: 58 internal nodes; 7.3 s; peak memory 147 MiB.
2026-09-25T13:11:15Z INFO [30/500] 127f7909-06fb-4e8a-b339-fdbd55bde312: 27 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-25T13:11:37Z INFO [31/500] 127fc155-5fea-42e5-95b7-6f0fe653f859: 2611 internal nodes; 22.4 s; peak memory 260 MiB.
2026-09-25T13:11:38Z INFO [32/500] 1280ef32-3c65-4196-b2eb-a1cc09739932: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:11:39Z INFO [33/500] 1280f2b8-6f8c-4385-94ba-bd143fd61463: 18 internal nodes; 1.0 s; peak memory 260 MiB.
2026-09-25T13:11:41Z INFO [34/500] 1281da61-cde3-4f1c-87e6-b25c0ff91633: 27 internal nodes; 1.4 s; peak memory 260 MiB.
2026-09-25T13:11:44Z INFO [35/500] 12828d04-8ab4-493a-83f1-2fee41d496a0: 44 internal nodes; 3.0 s; peak memory 260 MiB.
2026-09-25T13:11:45Z INFO [36/500] 128299c1-cff9-48e5-ac54-150bb887e33c: 17 internal nodes; 1.1 s; peak memory 260 MiB.
2026-09-25T13:11:46Z INFO [37/500] 1282b937-4363-4147-9065-e43b50ac4c04: 13 internal nodes; 1.2 s; peak memory 260 MiB.
2026-09-25T13:11:48Z INFO [38/500] 1282c9e7-3c07-4932-b8d3-d8451ca5b9ca: 46 internal nodes; 2.1 s; peak memory 260 MiB.
2026-09-25T13:11:49Z INFO [39/500] 12838ded-9f38-444b-9537-b1dc0616347f: 17 internal nodes; 0.8 s; peak memory 260 MiB.
2026-09-25T13:11:50Z INFO [40/500] 128449c8-da61-4773-b897-e79613e09ba6: 13 internal nodes; 0.7 s; peak memory 260 MiB.
2026-09-25T13:11:51Z INFO [41/500] 12847eb3-982f-4329-b84b-a359a8cb06b6: 17 internal nodes; 1.5 s; peak memory 260 MiB.
2026-09-25T13:12:00Z INFO [42/500] 12860774-2abf-4829-94a4-6c471cf79077: 195 internal nodes; 8.7 s; peak memory 260 MiB.
2026-09-25T13:12:05Z INFO [43/500] 128612ed-d309-4a6f-908b-a0276e21a60a: 115 internal nodes; 5.3 s; peak memory 260 MiB.
2026-09-25T13:12:07Z INFO [44/500] 12864c5d-c3db-4b88-b4fc-7731a006497f: 37 internal nodes; 2.0 s; peak memory 260 MiB.
2026-09-25T13:12:08Z INFO [45/500] 12874cea-a6ae-4ddc-9e38-404734c43cfb: 27 internal nodes; 1.4 s; peak memory 260 MiB.
2026-09-25T13:12:13Z INFO [46/500] 1287ad48-dc21-43de-8aff-8d2748057517: 41 internal nodes; 4.2 s; peak memory 260 MiB.
2026-09-25T13:12:23Z INFO [47/500] 128811a2-a194-49d5-a32a-69ab794efd9b: 317 internal nodes; 10.8 s; peak memory 260 MiB.
2026-09-25T13:12:24Z INFO [48/500] 128833a9-11ad-4e82-8482-cb0e2ad7a9f5: 18 internal nodes; 1.0 s; peak memory 260 MiB.
