2026-09-25T22:59:58Z INFO Logging to /tmp/logs/update_2026-09-25T22-59-58Z.log.
2026-09-25T22:59:58Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-25T22:59:58Z INFO Processing 500 items (55469 already recorded).
2026-09-25T22:59:59Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T22:59:59Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-25T23:00:00Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T23:00:00Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-25T23:00:02Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T23:00:02Z WARNING [3/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-25T23:00:03Z WARNING 0f7396ad-67ec-468a-b6a6-5599cb507f54: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T23:00:03Z WARNING [4/500] 0f7396ad-67ec-468a-b6a6-5599cb507f54: leaving unrecorded for a later run to retry.
2026-09-25T23:00:04Z WARNING 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-25T23:00:04Z WARNING [5/500] 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: leaving unrecorded for a later run to retry.
2026-09-25T23:00:05Z INFO [6/500] 13764f63-7a51-4b35-aa4a-1f2cc99c68d0: 26 internal nodes; 0.7 s; peak memory 118 MiB.
2026-09-25T23:00:06Z INFO [7/500] 13768881-e3d7-4fa8-9b61-e2e1e34d4892: 26 internal nodes; 1.0 s; peak memory 118 MiB.
2026-09-25T23:00:09Z INFO [8/500] 1376a8ea-10f9-4283-8b19-63b7af725eca: 56 internal nodes; 3.1 s; peak memory 118 MiB.
2026-09-25T23:00:10Z INFO [9/500] 1376bfa4-f374-47dc-b758-7d759e6c97c0: 18 internal nodes; 1.3 s; peak memory 118 MiB.
2026-09-25T23:00:12Z INFO [10/500] 137710a2-1791-42a4-b537-e22f1c353da2: 31 internal nodes; 1.1 s; peak memory 119 MiB.
2026-09-25T23:00:12Z INFO [11/500] 1378681e-8d08-41a7-a1b4-003625740360: 17 internal nodes; 0.9 s; peak memory 119 MiB.
2026-09-25T23:00:13Z INFO [12/500] 13786c50-43d2-4cd6-9543-d8d02d08ff5a: 13 internal nodes; 0.8 s; peak memory 119 MiB.
2026-09-25T23:00:14Z INFO [13/500] 13787bab-b860-4634-96c3-1d0f534cd174: 17 internal nodes; 0.9 s; peak memory 119 MiB.
2026-09-25T23:00:15Z INFO [14/500] 1379a9ae-e904-4ca2-9cca-82de578e1052: 17 internal nodes; 0.9 s; peak memory 119 MiB.
2026-09-25T23:00:17Z INFO [15/500] 137bec33-8869-4065-89ec-36a0c3fd7ff7: 47 internal nodes; 2.2 s; peak memory 120 MiB.
2026-09-25T23:00:18Z INFO [16/500] 137d29ab-0bb8-40ce-a903-c291d8c74d9e: 17 internal nodes; 0.9 s; peak memory 120 MiB.
2026-09-25T23:00:19Z INFO [17/500] 137dd132-f0c2-4655-93d0-b3ba16d9fa50: 31 internal nodes; 1.0 s; peak memory 120 MiB.
2026-09-25T23:00:20Z INFO [18/500] 137f3798-9a85-48bf-a762-cc74d5c3e187: 27 internal nodes; 1.2 s; peak memory 120 MiB.
2026-09-25T23:00:21Z INFO [19/500] 137f8bd2-2bdb-40a7-bf8d-c3b3d3af20fc: 13 internal nodes; 0.9 s; peak memory 120 MiB.
2026-09-25T23:00:22Z INFO [20/500] 137fba70-ab14-41c1-9046-3c596e1f420d: 19 internal nodes; 1.0 s; peak memory 120 MiB.
2026-09-25T23:00:23Z INFO [21/500] 1380935a-e673-428b-ad9e-110739a770e1: 17 internal nodes; 0.9 s; peak memory 120 MiB.
2026-09-25T23:00:24Z INFO [22/500] 1381a65f-762f-4099-be27-22fc02cbac5a: 41 internal nodes; 1.4 s; peak memory 120 MiB.
2026-09-25T23:00:25Z INFO [23/500] 1381ef92-aaaa-456c-be2c-1fbef5c17149: 17 internal nodes; 0.9 s; peak memory 120 MiB.
2026-09-25T23:00:26Z INFO [24/500] 13826ac5-3a57-4a23-b9ce-dc6f96b73b5b: 25 internal nodes; 1.2 s; peak memory 120 MiB.
2026-09-25T23:00:27Z INFO [25/500] 13836f84-de42-4d34-9390-1f8b709e9155: 17 internal nodes; 0.9 s; peak memory 120 MiB.
2026-09-25T23:00:37Z INFO [26/500] 1383d018-fd2e-46df-a1fb-05f0f10b5987: 215 internal nodes; 9.9 s; peak memory 139 MiB.
2026-09-25T23:00:40Z INFO [27/500] 1384916f-6c6f-4c91-9ffc-87d123eb27fd: 46 internal nodes; 2.8 s; peak memory 139 MiB.
2026-09-25T23:00:41Z INFO [28/500] 13849402-ca91-42b9-a4e7-fac3d3744b49: 11 internal nodes; 0.8 s; peak memory 139 MiB.
2026-09-25T23:00:42Z INFO [29/500] 1386767e-7b08-46a6-9f2f-3c1fdab7c724: 17 internal nodes; 0.9 s; peak memory 139 MiB.
