2026-09-26T12:36:11Z INFO Logging to /tmp/logs/update_2026-09-26T12-36-11Z.log.
2026-09-26T12:36:11Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-26T12:36:11Z INFO Processing 500 items (55964 already recorded).
2026-09-26T12:36:12Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-26T12:36:12Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-26T12:36:12Z INFO [2/500] 025b79c5-2030-4c64-b448-8c97a46d6890: 16 internal nodes; 0.6 s; peak memory 113 MiB.
2026-09-26T12:36:13Z INFO [3/500] 03a433fb-90ab-44be-b496-6589c2d06bb4: 16 internal nodes; 0.6 s; peak memory 114 MiB.
2026-09-26T12:36:13Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-26T12:36:13Z WARNING [4/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-26T12:36:14Z INFO [5/500] 0a6d3a29-492b-4845-9d91-92aa709d81ca: 16 internal nodes; 0.6 s; peak memory 116 MiB.
2026-09-26T12:36:15Z INFO [6/500] 0c766987-47c7-4791-9c3e-6ee635ac2b64: 16 internal nodes; 0.6 s; peak memory 116 MiB.
2026-09-26T12:36:15Z INFO [7/500] 0cf7de31-672c-4366-9f42-c97681945f40: 16 internal nodes; 0.5 s; peak memory 116 MiB.
2026-09-26T12:36:16Z INFO [8/500] 0d285226-e12f-4c67-ab41-848c06fbc7b8: 16 internal nodes; 0.5 s; peak memory 116 MiB.
2026-09-26T12:36:16Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-26T12:36:16Z WARNING [9/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-26T12:36:17Z INFO [10/500] 0f2b3e97-3fd5-4cca-b9d7-8f988c342e8a: 16 internal nodes; 0.6 s; peak memory 118 MiB.
2026-09-26T12:36:18Z WARNING 0f7396ad-67ec-468a-b6a6-5599cb507f54: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-26T12:36:18Z WARNING [11/500] 0f7396ad-67ec-468a-b6a6-5599cb507f54: leaving unrecorded for a later run to retry.
2026-09-26T12:36:18Z WARNING 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-26T12:36:18Z WARNING [12/500] 1066b3ba-83d9-4cb3-bfe3-ecf8539e2334: leaving unrecorded for a later run to retry.
2026-09-26T12:36:19Z INFO [13/500] 148356c8-d877-43d2-81f8-97c2aaf9b6e1: 44 internal nodes; 1.3 s; peak memory 124 MiB.
2026-09-26T12:36:20Z INFO [14/500] 1485a9d0-cb31-4a60-8d79-067fd9490971: 31 internal nodes; 0.8 s; peak memory 125 MiB.
2026-09-26T12:36:21Z INFO [15/500] 1485c57f-3338-46be-ba7c-d84c1a6d8470: 27 internal nodes; 0.8 s; peak memory 125 MiB.
2026-09-26T12:36:22Z INFO [16/500] 14868110-cc00-4719-ad1f-c9b34e0aec3e: 41 internal nodes; 0.8 s; peak memory 125 MiB.
2026-09-26T12:36:23Z INFO [17/500] 14869e1f-c750-419e-8c4b-c95078d8fbf2: 72 internal nodes; 1.0 s; peak memory 125 MiB.
2026-09-26T12:36:23Z INFO [18/500] 14878834-24d8-4ab5-b2d6-0ca781a053d0: 11 internal nodes; 0.3 s; peak memory 125 MiB.
2026-09-26T12:36:27Z INFO [19/500] 1487b8b6-21c8-4ba2-a44a-f18d2c770437: 177 internal nodes; 3.6 s; peak memory 134 MiB.
2026-09-26T12:36:27Z INFO [20/500] 14889360-4312-4861-8a87-16844d2693fe: 31 internal nodes; 0.7 s; peak memory 134 MiB.
2026-09-26T12:36:29Z INFO [21/500] 14893897-567e-4489-9862-7bd176fad1be: 46 internal nodes; 1.7 s; peak memory 134 MiB.
2026-09-26T12:36:30Z INFO [22/500] 148975f9-a288-4482-b21c-a2b6eabd9cfa: 27 internal nodes; 0.7 s; peak memory 134 MiB.
2026-09-26T12:36:30Z INFO [23/500] 1489d276-04e3-48bf-b551-6f1b0c3d5ecc: 17 internal nodes; 0.5 s; peak memory 134 MiB.
2026-09-26T12:36:32Z INFO [24/500] 148a2ce0-20c0-425c-a735-bcfeaeac1b9d: 46 internal nodes; 2.0 s; peak memory 134 MiB.
2026-09-26T12:36:38Z INFO [25/500] 148a3a2e-8dc3-4e89-bdba-1e7d18e694c0: 79 internal nodes; 5.4 s; peak memory 140 MiB.
2026-09-26T12:36:39Z INFO [26/500] 148a924e-6252-4059-b2b8-f6cb4fa7136e: 65 internal nodes; 1.5 s; peak memory 140 MiB.
2026-09-26T12:36:40Z INFO [27/500] 148ac22e-bd6c-4729-8e5c-74ec71334d94: 122 internal nodes; 1.0 s; peak memory 140 MiB.
2026-09-26T12:36:41Z INFO [28/500] 148bbb70-b4c0-4414-855b-114a299ee838: 27 internal nodes; 0.5 s; peak memory 140 MiB.
2026-09-26T12:36:41Z INFO [29/500] 148c095f-a1a8-45cf-b570-a67814a0c9e7: 17 internal nodes; 0.5 s; peak memory 140 MiB.
2026-09-26T12:36:42Z INFO [30/500] 148c871d-e2b3-43a4-819a-97f032cb0f76: 44 internal nodes; 1.2 s; peak memory 140 MiB.
2026-09-26T12:36:49Z INFO [31/500] 148cd656-cf93-4eff-b2f0-5f2608f3b1ac: 227 internal nodes; 7.0 s; peak memory 147 MiB.
2026-09-26T12:36:51Z INFO [32/500] 148d85a3-a536-4925-92e9-80cef7d67819: 46 internal nodes; 1.8 s; peak memory 147 MiB.
2026-09-26T12:36:52Z INFO [33/500] 148f2cbe-a85c-49b9-a850-c7cdfd3e5c11: 17 internal nodes; 0.6 s; peak memory 147 MiB.
2026-09-26T12:36:52Z INFO [34/500] 148f66e9-02b4-486d-b126-6d5aba5d3b47: 17 internal nodes; 0.5 s; peak memory 147 MiB.
2026-09-26T12:36:53Z INFO [35/500] 1490b36a-96d5-48a1-ac71-e1ce99d68adc: 21 internal nodes; 0.5 s; peak memory 147 MiB.
2026-09-26T12:36:54Z INFO [36/500] 149121d3-14c4-460e-9482-3a2f63d262d5: 31 internal nodes; 0.7 s; peak memory 147 MiB.
